HS10 Code,HS10 Code Formatted,HS10 Date Key,HS10 Start Date,HS10 End Date,Unit of Measure,HS10 UOM Date Key,UOM Start Date,UOM End Date,HS10 English Description,HS10 French Description
3901100010,3901.10.00.10,3901.10.00.10 (1988-01/1992-12),198801,199212,KGM,KGM (1988-01/1992-12),198801,199212,"Polyethylene,low density,having a specific gravity of <=0.925 in primary forms","Polyéthylène de densité faible, densité <=0,925, sous formes primaires"
3901100010,3901.10.00.10,3901.10.00.10 (1993-01/1997-12),199301,199712,KGM,KGM (1993-01/1997-12),199301,199712,"Polyethylene, low or medium density of recycled materials","Polyéthylène, provenant de matières recyclées, densité >0,925 mais <0,94"
3901100010,3901.10.00.10,3901.10.00.10 (2019-01/9999-12),201901,999912,KGM,KGM (2019-01/9999-12),201901,999912,"Polyethylene, of recycled materials, having a specific gravity < 0.94","Polyéthylène, provenant de matières recyclées, d'une densité < 0,94"
3901100020,3901.10.00.20,3901.10.00.20 (1988-01/1992-12),198801,199212,KGM,KGM (1988-01/1992-12),198801,199212,"Polyethylene,medium density, having a specific gravity >0.925 but <0.94/prim fms","Polyéthylène de densité moyenne, densité > 0,925 mais < 0,94, sous formes prim"
3901100091,3901.10.00.91,3901.10.00.91 (1993-01/1993-12),199301,199312,KGM,KGM (1993-01/1993-12),199301,199312,"Polyethylene, low density, having a specific gravity of<=0.925 in primary fms","Polyéthylène de densité faible, densité<=0,925, sous formes primaires"
3901100091,3901.10.00.91,3901.10.00.91 (1994-01/1997-12),199401,199712,KGM,KGM (1994-01/1997-12),199401,199712,Linear low density homopolymer,Homopolymère à faible densité linéaire
3901100091,3901.10.00.91,3901.10.00.91 (2019-01/9999-12),201901,999912,KGM,KGM (2019-01/9999-12),201901,999912,Linear low density homopolymer,Homopolymère à faible densité linéaire
3901100092,3901.10.00.92,3901.10.00.92 (1993-01/1993-12),199301,199312,KGM,KGM (1993-01/1993-12),199301,199312,"Polyethylene, medium density, specific gravity of more than 0.925 but <0.94,prim","Polyéthylene, de densité moyenne, densité>0,925 mais <0,94, sous formes prim"
3901100092,3901.10.00.92,3901.10.00.92 (1994-01/1997-12),199401,199712,KGM,KGM (1994-01/1997-12),199401,199712,"Polyethylene, low density, o/t linear, specific gravity of not more than 0.925","Polyéthylène, à faible densité,a/q linéaire, densité égale ou inférieure à 0,925"
3901100092,3901.10.00.92,3901.10.00.92 (2019-01/9999-12),201901,999912,KGM,KGM (2019-01/9999-12),201901,999912,"Polyethylene, low density, o/t linear, specific gravity of not more than 0.925","Polyéthylène, à faible densité,a/q linéaire, densité égale ou inférieure à 0,925"
