HS10 Code,HS10 Code Formatted,HS10 Date Key,HS10 Start Date,HS10 End Date,Unit of Measure,HS10 UOM Date Key,UOM Start Date,UOM End Date,HS10 English Description,HS10 French Description
4501100000,4501.10.00.00,4501.10.00.00 (1988-01/9999-12),198801,999912,,N/A (1988-01/9999-12),198801,999912,"Natural cork, raw or simply prepared","Liège naturel, brut ou simplement préparé"
4501900000,4501.90.00.00,4501.90.00.00 (1998-01/9999-12),199801,999912,,N/A (1998-01/9999-12),199801,999912,"Waste cork, crushed, granulated or ground cork","Dêchets de liège, liège concassé, granulé ou pulvérisé"
4501900010,4501.90.00.10,4501.90.00.10 (1988-01/1997-12),198801,199712,,N/A (1988-01/1997-12),198801,199712,Waste cork,Déchets de liège
4501900020,4501.90.00.20,4501.90.00.20 (1988-01/1997-12),198801,199712,,N/A (1988-01/1997-12),198801,199712,"Crushed, granulated or ground cork","Liège concassé, granulé ou pulvérisé"
4502000000,4502.00.00.00,4502.00.00.00 (1988-01/9999-12),198801,999912,,N/A (1988-01/9999-12),198801,999912,"Natural cork, debacked/roughly squared or in rectangular blocks,sheets/strips","Liège naturel, écroûté ou simplement équarri, en cubes,plaques,feuil,bandes rctg"
4503100000,4503.10.00.00,4503.10.00.00 (1988-01/9999-12),198801,999912,KGM,KGM (1988-01/9999-12),198801,999912,Corks and stoppers of natural cork,"Bouchons, en liège naturel"
4503900000,4503.90.00.00,4503.90.00.00 (2012-01/9999-12),201201,999912,,N/A (2012-01/9999-12),201201,999912,"Natural cork articles, nes","Ouvrages, nda, en liège naturel"
4503900010,4503.90.00.10,4503.90.00.10 (1988-01/1991-06),198801,199106,MTK,MTK (1988-01/1991-06),198801,199106,"Mats and matting, of natural cork","Nattes et paillassons, en liège naturel"
4503900010,4503.90.00.10,4503.90.00.10 (1991-07/2011-12),199107,201112,,N/A (1991-07/2011-12),199107,201112,"Gaskets, of natural cork","Joints, en liège naturel"
4503900020,4503.90.00.20,4503.90.00.20 (1988-01/1991-06),198801,199106,,N/A (1988-01/1991-06),198801,199106,"Washers, of natural cork",Rondelles en liège naturel
4503900030,4503.90.00.30,4503.90.00.30 (1988-01/1991-06),198801,199106,,N/A (1988-01/1991-06),198801,199106,"Gaskets, of natural cork","Joints, en liège naturel"
4503900090,4503.90.00.90,4503.90.00.90 (1988-01/1991-06),198801,199106,,N/A (1988-01/1991-06),198801,199106,"Articles of natural cork, nes","Articles en liège naturel, nda"
4503900090,4503.90.00.90,4503.90.00.90 (1991-07/2011-12),199107,201112,,N/A (1991-07/2011-12),199107,201112,"Articles of natural cork, nes","Articles en liège naturel, nda"
4504100000,4504.10.00.00,4504.10.00.00 (2017-01/9999-12),201701,999912,KGM,KGM (2017-01/9999-12),201701,999912,"Blocks,plates,sheets,strip,tiles,solid cylinders and discs,of agglomerated cork","Cubes,briques,plaques,feuil,bandes,carreaux,cyl pleins & disques,en liège agglom"
4504100010,4504.10.00.10,4504.10.00.10 (1988-01/2016-12),198801,201612,MTK,MTK (1988-01/2016-12),198801,201612,Tiles of agglomerated cork,Carreaux en liège aggloméré
4504100090,4504.10.00.90,4504.10.00.90 (1988-01/2016-12),198801,201612,KGM,KGM (1994-01/2016-12),199401,201612,"Block,plate,sheet&strip;solid cylinder,incl disc,of agglomerated cork,exc tiles","Cubes,feuilles,bandes;cylindres pleins,incl disques,en liège agglom,a/q carreaux"
4504100090,4504.10.00.90,4504.10.00.90 (1988-01/2016-12),198801,201612,,N/A (1988-01/1993-12),198801,199312,"Block,plate,sheet&strip;solid cylinder,incl disc,of agglomerated cork,exc tiles","Cubes,feuilles,bandes;cylindres pleins,incl disques,en liège agglom,a/q carreaux"
4504900000,4504.90.00.00,4504.90.00.00 (2012-01/9999-12),201201,999912,,N/A (2012-01/9999-12),201201,999912,"Articles of agglomerated cork, nes, with or without binder","Ouvrages en liège aggloméré, nda, avec ou sans liant"
4504900010,4504.90.00.10,4504.90.00.10 (1988-01/2011-12),198801,201112,MTK,MTK (1988-01/2011-12),198801,201112,Mats and matting of agglomerated cork,"Nattes et paillassons, en liège aggloméré"
4504900020,4504.90.00.20,4504.90.00.20 (1988-01/1991-06),198801,199106,,N/A (1988-01/1991-06),198801,199106,"Tubes and tubing, of agglomerated cork","Tubes et tyaux, en liège aggloméré"
4504900020,4504.90.00.20,4504.90.00.20 (1991-07/2011-12),199107,201112,,N/A (1991-07/2011-12),199107,201112,"Gasket stock, of agglomerated cork","Matière à joints, en liège aggloméré"
4504900030,4504.90.00.30,4504.90.00.30 (1988-01/1991-06),198801,199106,,N/A (1988-01/1991-06),198801,199106,"Gasket stock, of agglomerated cork","Matières à joints, en liège aggloméré"
4504900030,4504.90.00.30,4504.90.00.30 (1991-07/2011-12),199107,201112,,N/A (1991-07/2011-12),199107,201112,"Gaskets, of agglomerated cork","Joints, en liège aggloméré"
4504900040,4504.90.00.40,4504.90.00.40 (1988-01/1991-06),198801,199106,,N/A (1988-01/1991-06),198801,199106,"Gaskets, of agglomerated cork","Joints, en liège aggloméré"
4504900090,4504.90.00.90,4504.90.00.90 (1988-01/1991-06),198801,199106,,N/A (1988-01/1991-06),198801,199106,"Articles of agglomerated cork, nes","Articles en liège aggloméré, nda"
4504900090,4504.90.00.90,4504.90.00.90 (1991-07/2011-12),199107,201112,,N/A (1991-07/2011-12),199107,201112,"Articles of agglomerated cork, nes","Articles en liège aggloméré, nda"
